Datetime,Open,High,Low,Close,Volume,Return_1d,Return_2d,Return_5d,Return_7d,MA_14,MA_30,MA_90,MA_diff_14_30,MA_diff_14_90,MA_ratio_14_90,Vol_14d,Vol_30d,Vol_90d,Future_Return_5d,Target_Label_5d
2025-03-26,87392.88,88259.65,85860.0,86909.17,11605.60066,-0.005534776464029556,-0.006731455838614231,0.03354049927463576,0.0007280708804580094,84687.03000000001,85364.99966666666,93979.92433333333,-677.9696666666423,-9292.894333333315,0.9011183037307761,0.024011098535232426,0.03652930721906501,0.02603042695451088,-0.050157653099206945,0
2025-03-27,86909.17,87756.39,86382.0,87232.01,10282.83941,0.003714682811951864,-0.0018406535910767685,0.04045081266722961,0.03572190575563394,85123.90357142857,85316.72,93901.40188888888,-192.81642857143015,-8777.498317460311,0.9065243101711463,0.02198070180734468,0.036085214637303145,0.025986287499028152,-0.023771892909494996,0
2025-03-28,87232.01,87515.67,83585.0,84424.38,17592.43734,-0.0321857767578666,-0.028590653897626606,-0.019261987047309193,0.003990900570694622,85155.41642857144,85322.52966666667,93789.47322222222,-167.1132380952331,-8634.056793650787,0.9079421549453265,0.022317033635032693,0.035374287938188365,0.026197718892627272,-0.022601172789187274,0
2025-03-29,84424.38,84624.73,81644.81,82648.54,6633.62058,-0.02103468216171689,-0.052543441335353824,-0.05542539408828717,-0.014218053570472233,85034.70928571429,85253.86166666666,93665.00044444445,-219.15238095237873,-8630.291158730164,0.9078600211628777,0.023011934926625233,0.035580872913402756,0.026276403413659864,0.006830731674146939,0
2025-03-30,82648.53,83503.53,81565.0,82389.99,7561.90733,-0.0031283069247198814,-0.024097186144571014,-0.05724585998834908,-0.04289501350448688,85021.52785714285,85188.53,93543.18022222223,-167.002142857149,-8521.652365079382,0.9089014041981975,0.022320423536891277,0.03557713412966568,0.0262734747924539,0.01820463869457911,0
2025-03-31,82390.0,83943.08,81278.52,82550.01,14108.97514,0.0019422262340362817,-0.0011921565704609005,-0.050157653099206945,-0.05655147491101542,84917.24071428573,85071.37933333333,93415.80122222222,-154.13861904760415,-8498.56050793649,0.9090243792083987,0.021773833293759537,0.03536957083137807,0.026261223318251994,0.011968260209780812,0
2025-04-01,82550.0,85579.46,82432.74,85158.34,14539.80052,0.031596967704788925,0.033600562398417466,-0.023771892909494996,-0.025568790680521203,85091.76285714285,84767.65733333332,93314.21577777778,324.1055238095287,-8222.452920634925,0.9118842413012803,0.02297713360709957,0.03104614236657453,0.02648340135334279,-0.07900975993660742,0
2025-04-02,85158.35,88500.0,82320.0,82516.29,35425.33114,-0.0310251468030025,-0.0004084796597844109,-0.022601172789187274,-0.050545644377917864,84782.50214285713,84644.18,93149.37466666667,138.32214285714144,-8366.872523809536,0.9101778991673295,0.020076660549757423,0.027443788349646055,0.026434904532877643,-0.04063500673624554,0
2025-04-03,82516.28,83998.02,81211.24,83213.09,22337.29227,0.008444393222235336,-0.022842742120149362,0.006830731674146939,-0.04607161981020502,84710.33785714286,84508.55033333333,92978.40911111112,201.78752380952938,-8268.071253968257,0.9110753632696841,0.018728794227746065,0.027387679698597612,0.026412308065411505,-0.0828075246334441,0
2025-04-04,83213.09,84620.01,81849.05,83889.87,21053.95244,0.00813309540602325,0.01664616768398086,0.01820463869457911,-0.006331228017309787,84696.12928571427,84284.67899999999,92814.74055555556,411.45028571427974,-8118.611269841291,0.9125288588725647,0.018872859676688985,0.0264345653582663,0.026431403421201462,-0.015194325608085868,0
