Datetime,Close,Volume
2023-01-01,16616.75,96925.41374
2023-01-02,16672.87,121888.57191
2023-01-03,16675.18,159541.53733
2023-01-04,16850.36,220362.18862
2023-01-05,16831.85,163473.56641
2023-01-06,16950.65,207401.28415
2023-01-07,16943.57,104526.5688
2023-01-08,17127.83,135155.89695
2023-01-09,17178.26,266211.52723
2023-01-10,17440.66,221382.42581
2023-01-11,17943.26,262221.60653
2023-01-12,18846.62,454568.32178
2023-01-13,19930.01,368615.87823
2023-01-14,20954.92,393913.74951
2023-01-15,20871.5,178542.22549
2023-01-16,21185.65,293078.08262
2023-01-17,21134.81,275407.74409
2023-01-18,20677.47,350916.01949
2023-01-19,21071.59,251385.84925
2023-01-20,22667.21,338079.13659
2023-01-21,22783.55,346445.48432
2023-01-22,22707.88,253577.75286
2023-01-23,22916.45,293588.37938
2023-01-24,22632.89,293158.78254
2023-01-25,23060.94,346042.83223
2023-01-26,23009.65,288924.43581
2023-01-27,23074.16,280833.86315
2023-01-28,23022.6,148115.71085
2023-01-29,23742.3,295688.79204
2023-01-30,22826.15,302405.90121
2023-01-31,23125.13,264649.34909
2023-02-01,23732.66,310790.42271
2023-02-02,23488.94,364177.20751
2023-02-03,23431.9,332571.02904
2023-02-04,23326.84,166126.47295
2023-02-05,22932.91,209251.33917
2023-02-06,22762.52,265371.6069
2023-02-07,23240.46,308006.72482
2023-02-08,22963.0,280056.30717
2023-02-09,21796.35,402894.6955
2023-02-10,21625.19,338591.94247
2023-02-11,21862.55,177021.58433
2023-02-12,21783.54,204435.65163
2023-02-13,21773.97,295730.76791
2023-02-14,22199.84,361958.40109
2023-02-15,24324.05,375669.16111
2023-02-16,23517.72,450080.68366
2023-02-17,24569.97,496813.21376
2023-02-18,24631.95,216917.25213
2023-02-19,24271.76,300395.99542
2023-02-20,24842.2,346938.56997
2023-02-21,24452.16,376000.82868
2023-02-22,24182.21,379425.75365
2023-02-23,23940.2,398400.45437
2023-02-24,23185.29,343582.57453
2023-02-25,23157.07,191311.8101
2023-02-26,23554.85,202323.73623
2023-02-27,23492.09,283706.0859
2023-02-28,23141.57,264140.99894
2023-03-01,23628.97,315287.41737
2023-03-02,23465.32,239315.45219
2023-03-03,22354.34,319954.19785
2023-03-04,22346.57,121257.38132
2023-03-05,22430.24,154841.75786
2023-03-06,22410.0,203751.82957
2023-03-07,22197.96,292519.80912
2023-03-08,21705.44,301460.57272
2023-03-09,20362.22,443658.28584
2023-03-10,20150.69,618456.4671
2023-03-11,20455.73,427831.82133
2023-03-12,21997.11,430944.94288
2023-03-13,24113.48,687889.31259
2023-03-14,24670.41,699360.93423
2023-03-15,24285.66,581450.72984
2023-03-16,24998.78,439421.32998
2023-03-17,27395.13,624460.68091
2023-03-18,26907.49,371238.97174
2023-03-19,27972.87,372066.99054
2023-03-20,27717.01,477378.23373
2023-03-21,28105.47,420929.7422
2023-03-22,27250.97,224113.41296
2023-03-23,28295.41,128649.60818
2023-03-24,27454.47,86242.06544
2023-03-25,27462.95,50844.08102
2023-03-26,27968.05,49671.70353
2023-03-27,27124.91,88039.46898
2023-03-28,27261.07,78602.44341
2023-03-29,28348.6,89486.16008
2023-03-30,28028.53,98865.43256
2023-03-31,28465.36,78198.12139
2023-04-01,28452.73,30238.44753
2023-04-02,28171.87,37365.65692
2023-04-03,27800.0,79180.01405
2023-04-04,28165.47,49722.55691
2023-04-05,28170.01,60737.64732
2023-04-06,28033.82,40118.94963
2023-04-07,27906.33,24762.09387
2023-04-08,27938.38,19479.96735
2023-04-09,28323.76,32531.16101
2023-04-10,29637.34,67754.0622
2023-04-11,30200.42,67990.07621
2023-04-12,29888.07,62049.48451
2023-04-13,30373.84,51934.11731
2023-04-14,30466.93,75984.19452
2023-04-15,30295.09,25429.81247
2023-04-16,30304.65,26431.99322
2023-04-17,29430.27,56441.81127
2023-04-18,30380.01,62004.89434
2023-04-19,28797.1,86575.48656
2023-04-20,28243.65,76879.09372
2023-04-21,27262.84,77684.7679
2023-04-22,27816.85,36023.69686
2023-04-23,27590.6,34812.09581
2023-04-24,27510.93,53111.56874
2023-04-25,28300.79,52325.14637
2023-04-26,28415.29,129228.40403
2023-04-27,29472.77,95430.82431
2023-04-28,29311.7,54298.16578
2023-04-29,29230.45,20466.83058
2023-04-30,29233.21,39752.5372
2023-05-01,28068.26,64433.65958
2023-05-02,28669.86,50824.5224
2023-05-03,29026.16,64615.79213
2023-05-04,28838.16,42575.47501
2023-05-05,29505.61,58415.83048
2023-05-06,28848.2,49249.28459
2023-05-07,28430.1,30003.41028
2023-05-08,27668.79,68244.36179
2023-05-09,27628.27,40113.31069
2023-05-10,27598.75,71155.11355
2023-05-11,26968.62,47635.31365
2023-05-12,26795.01,67207.93494
2023-05-13,26775.28,22814.90421
2023-05-14,26917.62,21594.8036
2023-05-15,27162.14,40430.08333
2023-05-16,27033.84,33270.45451
2023-05-17,27405.61,42958.97785
2023-05-18,26821.28,49198.65143
2023-05-19,26880.26,28754.13544
2023-05-20,27102.43,14434.54718
2023-05-21,26747.78,21347.87279
2023-05-22,26849.27,26458.83828
2023-05-23,27219.61,38700.83858
2023-05-24,26329.01,54393.0657
2023-05-25,26473.79,37435.44895
2023-05-26,26705.92,35061.18713
2023-05-27,26854.27,15095.6867
2023-05-28,28065.0,43916.00855
2023-05-29,27736.4,42385.41945
2023-05-30,27694.4,32686.75371
2023-05-31,27210.35,46588.80573
2023-06-01,26817.93,39217.8088
2023-06-02,27242.59,36380.90269
2023-06-03,27069.22,16595.34117
2023-06-04,27115.21,19258.41049
2023-06-05,25728.2,65805.60305
2023-06-06,27230.08,68392.60438
2023-06-07,26339.34,59619.44364
2023-06-08,26498.61,31075.51083
2023-06-09,26477.81,27934.7097
2023-06-10,25841.21,64944.60108
2023-06-11,25925.55,30014.29595
2023-06-12,25905.19,29900.50893
2023-06-13,25934.25,41065.60853
2023-06-14,25128.6,45077.31608
2023-06-15,25598.49,48664.86063
2023-06-16,26345.0,51596.91662
2023-06-17,26516.99,27842.2195
2023-06-18,26339.97,21538.31022
2023-06-19,26844.35,35872.65974
2023-06-20,28307.99,69666.95525
