min_momentum_threshold,stop_loss_pct,max_hold_minutes,final_balance,total_return_pct,sharpe_ratio,max_drawdown_pct,total_trades
0.0077757467360447,0.0318925030434726,4287,13461.065683916677,34.61065683916675,42.09733092391955,-0.2193475687871353,63
0.009488006316115,0.0348266550150404,4286,12909.361003457225,29.093610034572247,42.38874610120968,-0.1610896594506465,55
0.0093887130818505,0.0492333671776295,3540,12560.685028142005,25.60685028142003,37.37667025611286,-0.1948548821825614,57
0.009491561037605,0.0329964410867561,3536,12410.402838161954,24.10402838161954,38.39742525455686,-0.1957884600930358,61
0.0091853662813271,0.0491486747344394,3597,12385.84262034928,23.8584262034928,36.76021940725323,-0.1912686321222927,57
0.0092592515921701,0.0480103894385999,3459,12095.80154511263,20.958015451126304,35.554803437772364,-0.1869639079623495,58
0.0091958576004377,0.033033840866198,4222,12068.23000535835,20.682300053583493,37.37160041145236,-0.1902936491184765,59
0.0099322152826179,0.047907690166325,3807,12037.950187441838,20.379501874418384,35.82546942558667,-0.1892034595787252,50
0.0095785582491976,0.0153020002402185,4170,11853.20991818515,18.5320991818515,39.61244844153946,-0.2535768115191669,76
0.0096765215578156,0.0318899417887179,3200,11399.44163369958,13.9944163369958,36.3494141205214,-0.2240491451591065,64
0.009551724911581,0.0277462239145644,4046,11054.891631598975,10.548916315989755,34.002177489446375,-0.308569922581811,62
0.0088692195413641,0.0424243427410509,4044,10801.723913282933,8.017239132829326,28.207446651751305,-0.3329299130606997,61
0.007549281281583,0.0385442413210217,4048,10783.50714818896,7.83507148188959,28.174771509451823,-0.3223960356973175,69
0.0073147204440698,0.0445118152090127,4028,10734.760428958038,7.347604289580377,27.729323857606207,-0.3223229893744974,66
0.008224254192867,0.0402542985273536,4226,10698.227478620134,6.982274786201343,28.16093310321087,-0.3323299942281863,62
0.0095569853067004,0.0244424794521718,3955,10613.73914363636,6.137391436363596,31.73347742804441,-0.3033233896953831,67
0.009664015031911,0.0473660757593609,1573,10540.488814783925,5.4048881478392286,38.8569172740674,-0.2674493935904111,75
0.0095642352630282,0.0121789767559249,3921,10534.508958598222,5.345089585982223,34.85282142259374,-0.2911739065645433,85
0.0074537587546592,0.0465896531322565,3819,10503.868032404183,5.038680324041852,27.741768051361536,-0.2861262220319814,63
0.0073562968913592,0.0479409984457263,4168,10486.709016805004,4.867090168050035,26.353685406570307,-0.3432844463862124,61
0.0073397618318023,0.0341427070293659,4181,10433.145440208846,4.331454402088457,27.949320399020344,-0.3263476283534987,68
0.0095702340429484,0.0135739767217853,4086,10412.826672442628,4.128266724426285,33.55353258318148,-0.2997500293056224,82
0.0046288944708555,0.0348812010002389,4166,10379.941907199633,3.799419071996326,27.30401746062716,-0.3315916404239878,74
0.0075756303464506,0.0430327009757151,3514,10279.61932081251,2.7961932081250964,26.461092709134206,-0.2886632349293821,68
0.0078539018873978,0.0393348572700986,4057,10171.633681878364,1.7163368187836388,25.170902053067923,-0.3636991402679828,68
0.0079674672527246,0.0351469763887892,3435,10065.93973192729,0.6593973192729027,26.625669941926933,-0.2929130411956354,72
0.0094619474859169,0.0295229524454403,3891,10063.950381448554,0.6395038144855425,27.535279185003233,-0.3084144474532918,64
0.0084484972194901,0.0404428764796162,4149,10007.451477352388,0.0745147735238788,24.38686478899349,-0.3838048194195965,64
0.0090345148226593,0.0326236814343215,2875,9919.38219565396,-0.8061780434604043,28.751682493690048,-0.2970388864392823,73
0.0094613732950176,0.0423650097865604,2796,9856.782221048448,-1.4321777895155172,28.123069933344997,-0.2866186461132691,69
0.009134095900697,0.0136118198075982,4259,9836.188967587555,-1.6381103241244457,31.006193816664908,-0.3021526266278531,85
0.0072771164871347,0.0340226444546405,3461,9810.3188982139,-1.8968110178610005,26.044148508471434,-0.2951752135518717,74
0.0087693027078365,0.0180555517344776,3097,9772.320224701234,-2.276797752987659,28.97348254991748,-0.3158126573268273,88
0.0092904648091034,0.0256682498846403,4266,9742.521576091283,-2.5747842390871667,27.55151862647414,-0.3406554259309173,68
0.0073635696761221,0.0391103265612243,3329,9704.04514295956,-2.959548570404404,23.96389319494005,-0.3311628793624082,72
0.0085386948928429,0.0330878745910666,3012,9606.076314320066,-3.939236856799343,25.679592824911587,-0.3059949629675956,71
0.0081955233381563,0.0398997758953307,3806,9582.406066576694,-4.175939334233062,23.591390858060024,-0.3541763263257369,69
0.0068147568433835,0.0321503518453533,4097,9572.278730649725,-4.27721269350277,23.727910679444182,-0.3823697105797572,72
0.009115237192031,0.0384484209313552,1500,9552.82546619265,-4.4717453380735055,32.830149070896226,-0.2533214928102344,91
0.0071371888062793,0.0412340458319486,3031,9519.407591496223,-4.80592408503775,25.573363335663768,-0.3429833031934649,73
0.0035131804459086,0.0366886215710364,4080,9460.662675281286,-5.393373247187137,23.013322755408712,-0.4050496568894244,78
0.0099786920339955,0.0150530257336499,2618,9455.00101123901,-5.4499898876099,29.955419637267035,-0.2809151730615966,91
0.0046006608003899,0.0368485340105429,4029,9435.420706957304,-5.64579293042696,22.604746415197532,-0.4025134059343849,75
0.0093766673604877,0.0132154404950597,1512,9433.955229775487,-5.6604477022451105,39.11635728395511,-0.3072948287947873,110
0.0060529240242022,0.0431900431386066,4142,9421.206883683672,-5.787931163163284,21.834427579924107,-0.3787011014145635,68
0.0034705054027755,0.0356945843784674,3015,9419.985204776392,-5.800147952236076,26.416816870323927,-0.3735883311113664,91
0.0070345201422563,0.0391779793690611,3201,9375.703188457148,-6.242968115428521,23.49677521689297,-0.3814584597293546,73
