Start Date,Open Price (~4PM),Close Price (~9:30AM),Pct Change (%)
2025-02-27,83331.65625,81665.6015625,-1.9993058610304533
2025-02-28,83826.234375,84529.2265625,0.838630284112652
2025-03-01,85478.015625,85416.453125,-0.0720214426479908
2025-03-02,94140.1015625,93091.3046875,-1.1140808832713012
2025-03-03,85479.359375,82720.8515625,-3.227103984715608
2025-03-04,87953.5625,89648.3828125,1.9269490221047045
2025-03-05,90201.3203125,89879.6328125,-0.35663280635529776
2025-03-06,88748.53125,89016.1640625,0.301563089248308
2025-03-07,87655.3125,86431.0859375,-1.396637040681362
2025-03-08,86264.5078125,83277.484375,-3.4626331422332313
2025-03-09,83193.8515625,80187.7109375,-3.613416819320613
2025-03-10,78696.9453125,81602.6328125,3.6922494112849242
2025-03-11,83327.703125,83279.7265625,-0.057575764962620284
2025-03-12,82648.5546875,82903.4375,0.3083935508173492
2025-03-13,80310.6015625,83323.7421875,3.7518591149576785
2025-03-14,84593.125,84348.8515625,-0.28876275406541607
2025-03-15,84285.3046875,82901.7890625,-1.6414671930410467
2025-03-16,83153.8828125,82954.5078125,-0.2397663142797094
2025-03-17,84686.3125,82328.0625,-2.784688493786998
2025-03-18,82029.6328125,83946.8984375,2.3372841731260796
2025-03-19,85464.34375,85120.8046875,-0.4019677065618374
2025-03-20,84313.7421875,83643.015625,-0.7955127421677165
2025-03-21,83837.2890625,84089.3359375,0.30063815018171824
2025-03-22,84201.46875,84941.71875,0.8791414342163717
2025-03-23,85008.96875,87301.7265625,2.697077551008405
2025-03-24,88062.609375,87647.5546875,-0.4713177254747909
2025-03-25,87972.765625,87515.984375,-0.5192302944608035
2025-03-26,86473.4296875,86354.0234375,-0.13808432304756907
2025-03-27,87298.5546875,85267.8046875,-2.3262126243320003
2025-03-28,83617.8203125,82653.046875,-1.1537892687161762
2025-03-29,82327.8359375,82925.6875,0.7261839883096951
2025-03-30,82592.328125,82532.5625,-0.07236219919790522
2025-03-31,82787.2890625,83663.75,1.0586902257885489
2025-04-01,85097.53125,84641.9140625,-0.5354058817070559
2025-04-02,86505.296875,81965.984375,-5.247438785811346
2025-04-03,82152.1484375,82723.5234375,0.6955082865966588
2025-04-04,84206.1484375,82782.265625,-1.6909487477115082
2025-04-05,82852.859375,82511.1875,-0.41238392685225295
2025-04-06,79461.53125,76805.734375,-3.3422422563748415
2025-04-07,78099.765625,80190.5625,2.6770846983575693
2025-04-08,76416.53125,76758.7890625,0.4478845177888129
2025-04-09,82267.703125,81659.1796875,-0.7396869176903983
2025-04-10,79265.8046875,82072.609375,3.5410032088435046
2025-04-11,83802.40625,83717.4375,-0.10139177835361977
2025-04-12,84892.3359375,84088.7734375,-0.9465666024216887
2025-04-13,83550.4765625,84976.4375,1.7067059293591327
2025-04-14,85011.7109375,85787.71875,0.9128246025662456
2025-04-15,84055.515625,83688.6796875,-0.43642101862366633
2025-04-16,84150.1640625,84600.7421875,0.5354453315923979
2025-04-17,84746.2890625,84525.375,-0.26067697470160245
2025-04-18,84545.0078125,85386.59375,0.9954294869384012
2025-04-19,85099.140625,84336.5390625,-0.8961330947635524
2025-04-20,84567.171875,87195.7890625,3.1083186645822782
2025-04-21,87242.34375,89617.1484375,2.7220780476796853
2025-04-22,91267.8203125,94004.3046875,2.9983014447264194
2025-04-23,93434.734375,92765.9296875,-0.7157987786595021
2025-04-24,93620.28125,94310.6875,0.7374537234687062
2025-04-25,95202.1328125,94135.0859375,-1.1208224474356494
