Datetime,forecast_vol,adaptive_thresh
2024-11-28 08:15:00,-0.0002838747461747777,-0.0001734803458106951
2024-11-28 08:30:00,-0.0002889853602894511,-0.0001734803458106951
2024-11-28 08:45:00,-0.0002896321958625462,-0.0001734803458106951
2024-11-28 09:00:00,-0.0002880956783950677,-0.0001734803458106951
2024-11-28 09:15:00,-0.00028983276922052697,-0.0001734803458106951
2024-11-28 09:30:00,-0.0002980909849382299,-0.0001734803458106951
2024-11-28 09:45:00,-0.0003079933455489262,-0.00017403616066529026
2024-11-28 10:00:00,-0.0003073818971154581,-0.000174461458610189
2024-11-28 10:15:00,-0.0003085860497474876,-0.00017471857587073137
2024-11-28 10:30:00,-0.0003092325141261685,-0.00017497513746950457
2024-11-28 10:45:00,-0.00031152966391238997,-0.00017593459150826643
2024-11-28 11:00:00,-0.00031224525979731414,-0.00017909208454702308
2024-11-28 11:15:00,-0.0003285775066380653,-0.00018097980051045827
2024-11-28 11:30:00,-0.00032770809228996854,-0.0001813985476686106
2024-11-28 11:45:00,-0.0003262384382986146,-0.00018161817802194645
2024-11-28 12:00:00,-0.0003286563277212207,-0.00018189809391881695
2024-11-28 12:15:00,-0.00033103027445294014,-0.00018215762965906863
2024-11-28 12:30:00,-0.0003325744507456877,-0.00018239248677449923
2024-11-28 12:45:00,-0.00033308886043500975,-0.00018284539398950752
2024-11-28 13:00:00,-0.0003307755313344317,-0.00018623043502477031
2024-11-28 13:15:00,-0.0003322041421948351,-0.0001891976134002873
2024-11-28 13:30:00,-0.0003292009914970938,-0.00018988105623484196
2024-11-28 13:45:00,-0.0003357742850482867,-0.0001903247458595429
2024-11-28 14:00:00,-0.0003353323105585819,-0.00019059810828677705
2024-11-28 14:15:00,-0.0003292773876912567,-0.00019076274044208774
2024-11-28 14:30:00,-0.00033068173048309566,-0.0001922817955780664
2024-11-28 14:45:00,-0.00032948889253113295,-0.0001933865748987665
2024-11-28 15:00:00,-0.0003302045866245204,-0.000193853253552898
2024-11-28 15:15:00,-0.00033037630079288784,-0.0001945179944048835
2024-11-28 15:30:00,-0.0003283646780913791,-0.00019534139887677097
2024-11-28 15:45:00,-0.0003292842606352068,-0.00019572308557097768
2024-11-28 16:00:00,-0.0003265535065227927,-0.00019591168034531993
2024-11-28 16:15:00,-0.0003254195011887918,-0.00019603453984963075
2024-11-28 16:30:00,-0.00032569291593699404,-0.00019626046162031833
2024-11-28 16:45:00,-0.0003317965154974339,-0.00019720930283622761
2024-11-28 17:00:00,-0.00033268143411143867,-0.0001977469394561958
2024-11-28 17:15:00,-0.00033411088622548653,-0.0001981047357325566
2024-11-28 17:30:00,-0.0003301694301840077,-0.00019900770849301872
2024-11-28 17:45:00,-0.00033094010740253917,-0.0001996596366594463
2024-11-28 18:00:00,-0.00032928118971514296,-0.0001998802564074437
2024-11-28 18:15:00,-0.0003305674868207813,-0.00020093421786954236
2024-11-28 18:30:00,-0.0003293901655799269,-0.00020208296121921582
2024-11-28 18:45:00,-0.0003302082701564829,-0.00020333517840046198
2024-11-28 19:00:00,-0.0003304278625503368,-0.00020431829608599244
2024-11-28 19:15:00,-0.0003315919715258257,-0.00020474788976470887
2024-11-28 19:30:00,-0.00033374420047137883,-0.0002050529534714567
2024-11-28 19:45:00,-0.00033492522848095467,-0.00020527244018003004
2024-11-28 20:00:00,-0.0003395862002044661,-0.00020543794580747988
2024-11-28 20:15:00,-0.00034032458219022,-0.00020553621016964856
2024-11-28 20:30:00,-0.00034510670669855295,-0.00020573760344151515
2024-11-28 20:45:00,-0.00034468973260092135,-0.00020597916042095992
2024-11-28 21:00:00,-0.00034678667164274746,-0.00020614626689308664
2024-11-29 05:00:00,-0.0002788039355508137,-0.00020631757024332478
2024-11-29 05:15:00,-0.00028281026223636726,-0.0002064200244797968
2024-11-29 05:30:00,-0.0002825894597174904,-0.00020648492493239323
2024-11-29 05:45:00,-0.0002805063061824609,-0.00020669617234276346
2024-11-29 06:00:00,-0.00028158285493914514,-0.000207039129090269
2024-11-29 06:15:00,-0.0002811807860475554,-0.0002077225544563429
2024-11-29 06:30:00,-0.0002826713748398052,-0.0002082567883149772
2024-11-29 06:45:00,-0.00028352145648220784,-0.00020881830122484866
2024-11-29 07:00:00,-0.0003123077830127054,-0.0002092417234362431
2024-11-29 07:15:00,-0.00030982467995853717,-0.00020946549297487751
2024-11-29 07:30:00,-0.00030732363799786675,-0.00020964753415037967
2024-11-29 07:45:00,-0.00031158657348796977,-0.00020979629929686206
2024-11-29 08:00:00,-0.0003121827441537864,-0.00020991458342472223
2024-11-29 08:15:00,-0.00031605654120004127,-0.00021006116127771077
2024-11-29 08:30:00,-0.00031601201275522576,-0.00021034764305275056
2024-11-29 08:45:00,-0.0003176794199423621,-0.0002105513098639991
2024-11-29 09:00:00,-0.00031783991330565364,-0.00021064286538996445
2024-11-29 09:15:00,-0.0003305903482111812,-0.00021067885102655807
2024-11-29 09:30:00,-0.0003270629117021913,-0.0002109846273142575
2024-11-29 09:45:00,-0.0003285038276820277,-0.00021185474005648672
2024-11-29 10:00:00,-0.000326079972374517,-0.00021248691989518223
2024-11-29 10:15:00,-0.00032616700585235835,-0.00021264905033520275
2024-11-29 10:30:00,-0.00032440796592717253,-0.0002128496459153006
2024-11-29 10:45:00,-0.000325477079086977,-0.00021321016299726402
2024-11-29 11:00:00,-0.0003239991843263972,-0.0002134200474311666
2024-11-29 11:15:00,-0.0003217931051084403,-0.0002135246057445055
2024-11-29 11:30:00,-0.0003236617142013177,-0.00021377770430184561
